,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
313,baruun-urt,48,MN,1570831405,37,46.68,113.28,20.35,3.72
314,port-gentil,40,GA,1570831405,94,-0.72,8.78,77.0,3.36
315,bonavista,70,CA,1570831405,87,48.65,-53.11,45.0,8.45
316,sovetskiy,87,RU,1570831406,92,56.76,48.47,42.69,8.86
317,batticaloa,3,LK,1570831406,90,7.71,81.69,74.68,1.93
318,luwuk,87,ID,1570831199,81,-0.95,122.79,79.45,9.0
319,loandjili,90,CG,1570831406,94,-4.77,11.87,78.8,5.82
320,vardo,1,US,1570831195,37,39.62,-77.74,72.0,8.05
321,brownwood,90,US,1570831407,21,31.71,-98.99,59.0,17.22
322,abu dhabi,75,JP,1570831407,73,34.51,131.49,71.6,23.04
323,talitsa,100,RU,1570831407,82,57.01,63.73,41.31,8.9
324,sioux lookout,90,US,1570831275,60,46.74,-90.88,41.0,20.8
325,mayya,100,RU,1570831408,89,61.74,130.28,16.56,12.84
326,beringovskiy,80,RU,1570831179,66,63.05,179.32,35.17,7.72
327,kambove,100,CD,1570831408,68,-10.88,26.6,66.74,2.04
328,lakhnadon,0,IN,1570831409,70,22.6,79.61,67.87,1.03
329,hailey,5,US,1570831409,36,43.52,-114.32,44.6,8.05
330,west odessa,90,US,1570831410,37,31.8,-97.09,63.0,16.11
331,sheridan,1,US,1570831410,24,39.65,-105.03,55.4,3.36
332,luanda,40,AO,1570831198,78,-8.83,13.24,77.0,11.41
333,sitka,0,US,1570831146,21,37.17,-99.65,55.99,18.99
334,shimoda,90,JP,1570831177,94,34.7,138.93,75.2,24.16
335,kawalu,91,ID,1570831411,95,-7.38,108.21,67.84,1.11
336,kinkala,68,CG,1570831411,83,-4.35,14.75,75.2,2.24
337,shingu,100,JP,1570831411,92,33.72,135.99,71.73,49.82
338,barisal,8,BD,1570831411,86,22.7,90.37,76.28,4.59
339,laguna,20,BZ,1570831239,66,16.17,-88.94,87.8,6.93
340,sorland,40,NO,1570831120,63,67.67,12.69,44.6,13.87
341,turbat,0,PK,1570831412,42,26.0,63.05,82.49,0.55
342,kalmunai,0,LK,1570831412,76,7.42,81.82,82.42,10.2
343,mangan,20,IN,1570831412,77,27.5,88.54,48.97,3.53
344,albert,90,FR,1570831412,82,50.0,2.65,61.0,10.29
345,pavlodar,1,KZ,1570831244,59,52.28,76.96,51.51,7.25
346,eskil,36,TR,1570831413,54,38.4,33.41,65.21,10.15
347,pangkalanbuun,100,ID,1570831180,99,-2.68,111.62,73.4,1.31
348,puerto baquerizo moreno,40,AR,1570831413,32,-51.62,-69.23,51.8,31.09
349,manawar,94,IN,1570831414,76,22.23,75.09,76.17,3.28
350,ishigaki,20,JP,1570831414,88,24.34,124.16,75.2,6.93
351,havoysund,0,NO,1570831414,70,71.0,24.66,32.0,3.36
352,caravelas,16,BR,1570831414,82,-17.73,-39.27,72.84,8.05
353,qujing,31,CN,1570831414,98,25.49,103.8,53.94,2.86
354,marrakesh,40,MA,1570831415,56,31.63,-7.99,73.4,8.05
355,karatau,0,KZ,1570831415,61,43.18,70.46,39.52,0.35
356,floro,75,NO,1570831415,93,61.6,5.03,46.4,12.75
357,saint-augustin,20,CA,1570831265,39,45.63,-73.98,66.2,6.93
358,ushirombo,1,TZ,1570831416,66,-3.47,31.9,71.64,5.25
359,rio gallegos,90,US,1570831416,48,41.11,-90.4,45.0,19.46
360,udachnyy,75,RU,1570831416,85,66.42,112.4,4.28,6.27
361,jian,11,IN,1570831250,80,25.65,87.89,74.57,0.73
362,paamiut,90,GL,1570831133,95,61.99,-49.67,36.9,4.46
363,north platte,100,NG,1570831417,94,4.97,7.66,73.58,2.64
364,mata,87,PT,1570831417,81,40.68,-7.46,66.99,3.57
365,talnakh,100,RU,1570831170,68,69.49,88.39,24.35,13.73
366,ozinki,100,RU,1570831418,68,51.2,49.73,50.58,9.35
367,luganville,75,VU,1570831418,83,-15.51,167.18,80.6,9.17
368,wukari,88,NG,1570831419,95,7.87,9.78,71.74,2.06
369,tuatapere,100,NZ,1570831175,86,-46.13,167.69,46.99,11.01
370,dhadar,0,IN,1570831419,31,28.33,75.06,78.89,7.6
371,zhangye,100,CN,1570831420,41,38.94,100.46,56.64,7.34
372,sola,71,TZ,1570831152,58,-3.17,33.8,73.04,14.7
373,roald,75,NO,1570831165,76,62.58,6.12,48.2,8.05
374,east london,97,UG,1570831136,90,3.43,31.7,69.62,2.27
375,longyearbyen,20,NO,1570831174,73,78.22,15.63,23.0,4.7
376,nantucket,90,US,1570831420,93,41.28,-70.1,55.4,23.04
377,goderich,72,CA,1570831190,64,43.74,-81.71,69.01,17.0
378,palmetto,40,US,1570831421,39,33.52,-84.67,81.0,3.36
379,diamantino,100,BR,1570831421,91,-14.4,-56.44,73.15,11.08
380,shitanjing,100,CN,1570831421,35,39.23,106.34,55.0,1.99
381,osoyoos,40,CA,1570831421,32,49.03,-119.47,53.6,11.41
382,healdsburg,1,US,1570831421,15,38.61,-122.87,84.99,9.17
383,poum,2,MK,1570831177,78,41.28,20.71,52.41,4.01
